id,enota,tip,leto,adaptirano,nadstropje,velikost,cena,agencija,opis
6204808,BS 3,trisobno,1978,2017,4,73.5,199900.0,Studio 68 d.o.o.,"73,5 m2, 3-sobno, &quot;penthouse&quot;, zgrajeno l. 1978, adaptirano l. 2017, 4/4 nad., Studio68 predstavlja 100% adapt..."
6219729,ČRNUČE,enosobno,1975,None,2,40.9,106000.0,MKA nepremičnine d.o.o.,"40,9 m2, 1-sobno, zgrajeno l. 1975, 2/5 nad., V drugem nadstropju lepo urejenega bloka, se nahaja svetlo enosobno stanov..."
6207003,DOLGI MOST,garsonjera,2003,None,P,30.0,111500.0,Mreža nepremičnin d.o.o.,"30 m2, garsonjera, zgrajena l. 2003, P/2 nad., prodamo. Cena: 111.500,00 EUR"
6219793,LJ. BEŽIGRAD,štirisobno,1992,None,None,123.23,437000.0,"STAN nepremičnine d.o.o., Ljubljana","123,23 m2, 4-sobno, zgrajeno l. 1992, Za vas posredujemo pri prodaji 4 sobnega duplex stanovanja, ki vam na dlani ponuja..."
6217083,LJ. CENTER,trisobno,1929,None,None,76.03,247000.0,"STAN nepremičnine d.o.o., Ljubljana","76,03 m2, 3-sobno, zgrajeno l. 1929, Si želite bivanja v urbanem mestnem središču poleg romantične reke Ljubljanice?, pr..."
6190628,LJ. CENTER,štirisobno,2019,None,P,137.28,654620.0,"Stoja trade, d.o.o., Ljubljana","137,28 m2, 4-sobno, zgrajeno l. 2019, 76 m2 zemljišča, pritličje, NOVOGRADNJA. BREZ PROVIZIJE ZA KUPCAv Prulah prodamo 4..."
6102974,LJ. CENTER,petsobno,2017,None,M,220.0,770000.0,Hiša Invest d.o.o.,"220 m2, 5 in večsobno, &quot;penthouse&quot;, zgrajeno l. 2017, M/2 nad., novozgrajeno, sodobna arhitektura s pridihom s..."
6112172,LJ. CENTER,štiriinpolsobno,1937,2015,1,173.6,550000.0,Harmonija nepremičnine Ksenja Kokalj s.p.,"173,6 m2, 4,5-sobno, zgrajeno l. 1937, adaptirano l. 2015, 1/4 nad., luksuzno, popolnoma prenovljeno meščansko stanovanj..."
6172073,LJ. CENTER,trisobno,2009,None,P,115.3,268000.0, AJT d.o.o.,"115,3 m2, 3-sobno, zgrajeno l. 2009, pritličje, Stanovanje se nahaja v soseski Njegošev kvart v Ljubljani, v urbanem mes..."
6220095,LJ. CENTER,trisobno,1858,None,None,88.0,350000.0,"STAN nepremičnine d.o.o., Ljubljana","88 m2, 3-sobno, zgrajeno l. 1858, V neposredni bližini centra mesta posredujemo pri prodaji staromeščanskega stanovanja,..."
6156163,LJ. CENTER,triinpolsobno,2006,None,M,156.0,560000.0,GRE d.o.o.,"156 m2, 3,5-sobno, zgrajeno l. 2006, M/3 nad., prodamo. Cena: 560.000,00 EUR"
6190742,LJ. CENTER,trisobno,2005,None,None,108.8,690000.0,ABC nepremičnine d.o.o.,"108,8 m2, 3-sobno, zgrajeno l. 2005, prodamo. Cena: 690.000,00 EUR"
6219577,LJ. MOSTE,trisobno,1981,None,5,78.2,199000.0,Mikljič-Hribar Company d.o.o.,"78,2 m2, 3-sobno, zgrajeno l. 1981, 5/7 nad., Na izredno atraktivni in zeleni lokaciji s pogledom na park, Ljubljanski g..."
6220230,LJ. ŠIŠKA,dvoinpolsobno,2009,None,None,61.5,247000.0,"STAN nepremičnine d.o.o., Ljubljana","61,5 m2, 2,5-sobno, zgrajeno l. 2009, Posredujemo pri prodaji zelo lepega stanovanja, v drugem nadstropju, z balkonom, o..."
6209756,LJ. ŠIŠKA,trisobno,2018,2018,VP,77.0,259000.0,Zasebna ponudba,"77 m2, 3-sobno, adaptirano l. 2018, VP/4 nad., Skupaj s prostorno kletjo. Moznost tudi nakupa garaže s prostorom za doda..."
6200047,LJ. ŠIŠKA,trisobno,1970,None,1,80.0,195000.0,Moduling nepremičnine d.o.o.,"80 m2, 3-sobno, zgrajeno l. 1970, 1/3 nad., Iz velike predsobe se dostopa do dnevne sobe z balkonom, kuhinje z jedilnim ..."
6170667,LJ. ŠIŠKA,štirisobno,2009,None,8,131.39,270000.0,"DUTB, d.d.","131,39 m2, 4-sobno, zgrajeno l. 2009, 8. nad., prodamo. Cena: 270.000,00 EUR"
6215029,LJ. ŠIŠKA,dvoinpolsobno,2017,None,P,62.9,256030.0,Harmonija nepremičnine Ksenja Kokalj s.p.,"62,9 m2, 2,5-sobno, zgrajeno l. 2017, 69 m2 zemljišča, P/2 nad., novogradnja, primerno za invalide, vseljivo, atrij, 2 p..."
6219502,LJ. ŠIŠKA,štirisobno,1972,None,6,87.6,254000.0,Casa 69 d.o.o.,"87,6 m2, 4-sobno, zgrajeno l. 1972, 6/11 nad., na iskani lokaciji v Šiški posredujemo pri prodaji popolnoma in kakovostn..."
6210276,LJ. ŠIŠKA,petsobno,1974,2014,1,168.0,439000.0,Zasebna ponudba,"168 m2, 5 in večsobno, zgrajeno l. 1974, adaptirano l. 2014, 1/5 nad., prodamo. Cena: 439.000,00 EUR"
6220400,LJ. ŠIŠKA,triinpolsobno,2010,None,2,95.18,225000.0,HDS d.o.o.,"95,18 m2, 3,5-sobno, zgrajeno l. 2010, 2/2 nad., posredujemo pri prodaji novega triinpolsobnega stanovanja na čudoviti l..."
6220369,LJ. VIČ,enoinpolsobno,1973,None,2,44.0,118000.0,Casa 69 d.o.o.,"44 m2, 1,5-sobno, zgrajeno l. 1973, 2/4 nad., Zanimivo, delno prenovljeno, predvsem pa funkcionalno stanovanje se razpro..."
6217085,LJ. VIČ,štirisobno,2018,None,1,97.85,465000.0,"Stoja trade, d.o.o., Ljubljana","97,85 m2, 4-sobno, zgrajeno l. 2018, 1. nad., Prodamo čudovito 4-sobno stanovanje v novogradnji na Viču, ki bo vseljivo ..."
6141566,LJ. VIČ,štirisobno,2018,None,P,102.67,423858.52,"Stoja trade, d.o.o., Ljubljana","102,67 m2, 4-sobno, zgrajeno l. 2018, 203 m2 zemljišča, pritličje, Izjemna priložnost. Prodamo 4-sobno moderno stanovanj..."
6217086,LJ. VIČ,štirisobno,2018,None,3,119.95,630000.0,"Stoja trade, d.o.o., Ljubljana","119,95 m2, 4-sobno, zgrajeno l. 2018, 3. nad., Prodamo čudovito penthouse 4-sobno stanovanje v novogradnji na Viču, ki b..."
6218128,LJ. VIČ,trisobno,1999,None,2,67.2,193000.0,Mreža nepremičnin d.o.o.,"67,2 m2, 3-sobno, zgrajeno l. 1999, 2/3 nad., prodamo. Cena: 193.000,00 EUR"
6218757,LJ. VIČ,enosobno,1967,None,4,43.5,126000.0,"Šardi&Co. nepremičnine, družba za posredovanje v prometu z nepremičninami, d.o.o.","43,5 m2, 1-sobno, zgrajeno l. 1967, 4/5 nad., prodamo lepo 1 sobno stanovanje na zeleni poti v trnovem. stanovanje je se..."
6220232,POLJE,dvoinpolsobno,1973,2016,2,67.0,169000.0,Mreža nepremičnin d.o.o.,"67 m2, 2,5-sobno, zgrajeno l. 1973, adaptirano l. 2016, 2/4 nad., prodamo. Cena: 169.000,00 EUR"
6195384,PRULE,dvosobno,2004,None,1,76.5,235000.0,Nepremičnine Land d.o.o.,"76,5 m2, 2-sobno, zgrajeno l. 2004, 1/3 nad., prodamo. Cena: 235.000,00 EUR"
6220335,ROŽNA DOLINA,štirisobno,2018,None,P,214.28,362930.0,Mreža nepremičnin d.o.o.,"214,28 m2, 4-sobno, zgrajeno l. 2018, pritličje, prodamo. Cena: 362.930,00 EUR"
6205467,SP. ŠIŠKA,dvoinpolsobno,2003,2003,3,76.5,258000.0,"Nepremičninsko posredovanje, Iris Bavdek s.p.","76,5 m2, 2,5-sobno, adaptirano l. 2003, adaptirano l. 2014, 3. nad., prodamo. Cena: cca 258.000,00 EUR"
6212691,TRNOVO,štirisobno,2005,None,None,106.2,490000.0,"Stoja trade, d.o.o., Ljubljana","106,2 m2, 4-sobno, zgrajeno l. 2005, Prodamo stanovanje na eni lepših lokacij v prestolnici na mirnem in zelenem delu v ..."
6199643,TRNOVO,štirisobno,2005,None,None,185.5,855000.0,ABC nepremičnine d.o.o.,"185,5 m2, 4-sobno, zgrajeno l. 2005, prodamo. Cena: 855.000,00 EUR"
6217924,BEŽIGRAJSKI DVOR,petsobno,1900,2005,1,134.8,285000.0,"C-nep agencija, d.o.o.","134,8 m2, 5 in večsobno, v stavbi zgrajeni l. 1900, adaptirano l. 2005, 1. nad., prodamo. Cena: 285.000,00 EUR"
6220798,BEŽIGRAJSKI DVOR,garsonjera,1968,None,1,28.3,102000.0,Tohom d.o.o.,"28,3 m2, garsonjera, zgrajena l. 1968, 1/5 nad., prodamo. Cena: 102.000,00 EUR"
5949151,BEŽIGRAJSKI DVOR,dvosobno,1964,2015,4,43.0,190000.0,Zasebna ponudba,"43 m2, 2-sobno, zgrajeno l. 1964, adaptirano l. 2015, 4/4 nad., Dvosobno stanovanje nedaleč od občine Bežigrad, preureje..."
6207949,BRDO,garsonjera,2002,None,None,24.3,128000.0,ABC nepremičnine d.o.o.,"24,3 m2, garsonjera, zgrajena l. 2002, prodamo. Cena: 128.000,00 EUR"
6189829,BRDO,štirisobno,2002,None,3,103.0,275000.0,LJUBLJANA NEPREMIČNINE d.o.o.,"103 m2, 4-sobno, zgrajeno l. 2002, 3/3 nad., prodamo. Cena: 275.000,00 EUR"
6190516,BRDO,petsobno,1988,2012,2,131.5,356000.0,Garant - Gabrijela Smuk s.p.,"131,5 m2, 5 in večsobno, dupleks, zgrajeno l. 1988, adaptirano l. 2012, 2/2 nad., V naravi obsega stanovanje 137,21 m2 s..."
